Key,English,Polish
"app_name","Skiv","Skiv"
"===BATTLE===","BATTLE","BATTLE"
"battle_player_name","Player","Gracz"
"battle_enemy_name","Enemy","Wróg"
"battle_you","You","Ty"
"battle_have_been_hit_for","have been hit for","otrzymał"
"battle_damage","damage","obrażeń"
"battle_magic_damage","magic damage","magicznych obrażeń"
"npc_vil1","Villager","Chłop"
"===UI===","UI","UI"
"ui_atk_command","Attack","Atak"
"ui_item_command","Inventory","Plecak"
"ui_spell_command","Spellbook","Zaklęcia"
"ui_switch_weapon_command","Switch","Zmień"
"ui_flee_command","Flee","Ucieczka"
"ui_hp","HP","PŻ"
"ui_victory","Victory","Wygrana"
"ui_lose","Lost","Przegrana"
"ui_battle_end","End","Zakończ"
"ui_attributes","Attributes","Cechy"
"ui_exp_label","Exp","Doś"
"ui_level_up","Level Up!","Nowy Poziom!"
"ui_level","Level","Poziom"
"ui_level_curr","Current","Aktualny"
"ui_level_next","Next","Nastepny"
"ui_loot","Loot","Łup"
"ui_hp_attr","Hitpoints","Punkty życia"
"ui_atk_attr","Attack","Atak"
"ui_def_attr","Defence","Obrona"
"ui_matk_attr","Magic Attack","M. Atak"
"ui_mdef_attr","Magic Defense","M. Obrona"
"ui_speed_attr","Speed","Szybkość"
"ui_spellcraft_craft","Save","Zapisz"
"ui_hp_attr_shr","HP","PŻ"
"ui_atk_attr_shr","ATK","ATK"
"ui_def_attr_shr","DEF","OBR"
"ui_matk_attr_shr","MATK","MATK"
"ui_mdef_attr_shr","MDEF","MOBR"
"ui_speed_attr_shr","SPD","SZY"
"ui_eq_weapon_1","Weapon I","Broń I"
"ui_eq_weapon_2","Weapon II","Broń II"
"ui_eq_armor","Armor","Zbroja"
"ui_eq_other","Accesory","Akcesoria"
"===ITEMS===","ITEMS","ITEMS"
"item_empty","-","-"
"item_saber","Saber","Szabla"
"item_axe","Battle Axe","Topór Bojowy"
"item_chainmail","Chainmail","Kolczuga"
"item_helmet","Helmet","Hełm"
"item_shield","Shield","Tarcza"
"item_goblin_eye","Goblin's Eye","Oko Goblina"
"item_goblin_skin","Goblin's Skin","Skóra Goblina"
"item_cruciata_core","Cruciata Core","Rdzeń Cruciaty"
"item_naja_fang","Naja Fang","Kieł Naja"
"item_rats_tail","Rats Tail","Szczurzy Ogon"
"item_brigandine","Brigandine","Brygantyna"
"item_health_potion","Health Potion","Mikstura Zdrowia"
"item_type_none","None","Żaden"
"item_type_weapon","Weapon","Broń"
"item_type_armor","Armor","Zbroja"
"item_type_component","Component","Materiał"
"item_default_desc","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus tristique posuere neque quis venenatis","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus tristique posuere neque quis venenatis"
"item_saber_desc","This finely crafted saber is a work of true master.","Ta misternie wykonana szabla jest dziełem prawdziwego mistrza."
"item_chainmail_desc","Made out of connected small metal rings, this shirt ensures your guts will remain intact.","Made out of connected small metal rings, this shirt ensures your guts will remain intact."
"===SPELLS===","SPELLS","SPELLS"
"spell_none","None","Brak"
"spell_fire_arrow","Fire arrow","Ognisty pocisk"
"spell_fire_breath","Fire breath","Ognisty dech"
"spell_mag_missile","Magic Missile","Magiczny pocisk"
"spell_cat_eye","Cat Eyes","Koci wzrok"
"spell_invis","Invisibility","Newidzialność"
"spell_heal","Heal","Leczenie"
"spell_desc_default","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus tristique posuere neque quis venenatis","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus tristique posuere neque quis venenatis"
"spell_desc_fire_arrow","One of the most basic offensive spells, shooting a projectile of pure fire.","Podstawowe ofensywne zaklęcie wystrzeliwujace pocisk czystego ognia w kierunku przeciwnika."
"spell_desc_fire_breath","Breathing fire is proven method of killing your oponents.","Zianie ogniem jest sprawdzoną metodą wygrywania walk."
"spell_desc_magic_missile","Shoots out multiple projectiles which will follow the target, impossible to evade.","Wystrzeliwuje salwe magicznych pocisków które nie znikną póki nie siegną celu, niemożliwe do uniknięcia."
"spell_desc_cat_eye","This spell extends your sight in pitch-black conditions, revealing hidden dangers, obstacles, and secret passages. Ideal for navigating shadowy dungeons, nighttime ambushes, or stealthy explorations.","Zaklęcie to pozwala widzieć w całkowitej ciemności, ujawniając ukryte niebezpieczeństwa, przeszkody i tajne przejścia. Idealne do przemierzania mrocznych lochów, nocnych zasadzek oraz infiltracji."
"spell_desc_invis","This spell makes you hidden from the eyes of oponents.","To zaklęcie ukrywa cię przed wzrokiem wrogów."
"spell_desc_heal","This spell makes you hidden from the eyes of oponents.","To zaklęcie ukrywa cię przed wzrokiem wrogów."
"===DIALOGUES===","DIALOGUES","DIALOGUES"
"village1","Rumors say, somewhere in Underground powerful spell was hidden in old times","Według plotek w podziemiach ukryty jest poteżny Czar z antycznych czasów."
"village2","Thats it","To tyle"
"spire1","Future of your kind lies in the Spire",""
"spire2","Rumors say, somewhere in Underground powerful spell was hidden in old times","Według plotek w podziemiach ukryty jest poteżny Czar z antycznych czasów."
