"Key","English","Polish"
"app_name","Skiv","Skiv"
"default","Default","Default"
"item","Item","Przedmioty"
"spell","Spell","Zaklęcie"
"===BATTLE===","BATTLE","BATTLE"
"battle_player_name","Player","Gracz"
"battle_enemy_name","Enemy","Wróg"
"battle_you","You","Ty"
"battle_have_been_hit_for","have been hit for","otrzymał"
"battle_damage","damage","obrażeń"
"battle_magic_damage","magic damage","magicznych obrażeń"
"npc_vil1","Villager","Chłop"
"===UI===","UI","UI"
"ui_atk_command","Attack","Atak"
"ui_ris_atk_command","Risky Attack","Ryzykowny Atak"
"ui_item_command","Inventory","Plecak"
"ui_spell_command","Spellbook","Zaklęcia"
"ui_switch_weapon_command","Switch","Zmień"
"ui_flee_command","Flee","Ucieczka"
"ui_shop_command","Shop","Sklep"
"ui_hp","HP","PŻ"
"ui_victory","Victory","Wygrana"
"ui_lose","Lost","Przegrana"
"ui_battle_end","End","Zakończ"
"ui_attributes","Attributes","Cechy"
"ui_exp_label","Exp","Doś"
"ui_level_up","Level Up!","Nowy Poziom!"
"ui_level","Level","Poziom"
"ui_level_curr","Current","Aktualny"
"ui_level_next","Next","Nastepny"
"ui_loot","Loot","Łup"
"ui_hp_attr","Hitpoints","Punkty życia"
"ui_atk_attr","Attack","Atak"
"ui_def_attr","Defence","Obrona"
"ui_matk_attr","Magic Attack","M. Atak"
"ui_mdef_attr","Magic Defense","M. Obrona"
"ui_speed_attr","Speed","Szybkość"
"ui_crit_attr","Critical Hit","Szansa krytyczna"
"ui_hp_attr_shr","HP","PŻ"
"ui_atk_attr_shr","ATK","ATK"
"ui_def_attr_shr","DEF","OBR"
"ui_matk_attr_shr","MATK","MATK"
"ui_mdef_attr_shr","MDEF","MOBR"
"ui_speed_attr_shr","SPD","SZY"
"ui_crit_attr_shr","CRIT","KRYT"
"ui_hp_attr_desc","How much you can take before dying","Jak wiele jesteś w stanie znieść zanim umrzesz"
"ui_atk_attr_desc","How strong your physical attacks are","Jak silne są twoje ataki fizyczne"
"ui_def_attr_desc","Reduces Physical Damage taken","Redukuje otrzymane fizyczne obrażenia"
"ui_matk_attr_desc","How strong your magic is","Siła twojej magi"
"ui_mdef_attr_desc","Reduces Magical Damage taken","Redukuje otrzymane magiczne obrażenia"
"ui_speed_attr_desc","How often you can act first in a turn","Jak często możesz działać pierwszy w turze"
"ui_crit_attr_desc","Lorem ipsum et dolorem Lorem ipsum et dolorem","Lorem ipsum et dolorem Lorem ipsum et dolorem"
